Location,Description
1. Mulki River,This river is popular for its abundance of freshwater catfish and carps. It is a great spot for bank fishing and is not too crowded.
2. Shambhavi River,"This river offers a wide variety of fish like red snapper, catfish, and barramundi. You can rent a boat and fish in deeper waters here."
3. Netravathi River,"This river is known for its red snapper, grouper, and mullet. It is also a great spot for bird watching."
4. Kodi Bengre,"This small fishing village has a beautiful estuary that is filled with a variety of fish like red snapper, tiger fish, and mullet."
5. Kulai Kudlu,"This backwater canal is a hidden gem for fishing enthusiasts. It has plenty of carps, catfish, and tilapia."
6. Puducherry Lake,"This man-made lake has a variety of fish like carp, rohu, and tilapia. Fishing is allowed here with the proper permits."
7. Thumbe Dam,"This dam is a popular spot for local fishermen, with an abundance of tilapia, Asian black bass, and freshwater shrimps."
8. Katipalla Bridge,"This is a great spot for shore fishing, with a variety of fish like grouper, catfish, and mullet."
9. Hejamadi Beach,"This is a beautiful and peaceful beach that is perfect for surf fishing. You can expect to catch pomfret, red snapper, and shark here."
10. Panambur Beach,"This beach is known for its annual fishing fair, but it is also a great spot for surf fishing. You can find grouper, stingrays, and catfish here."
11. Nellikeri Beach,"This hidden beach is a popular spot for local fishermen. It is known for its black bream, catfish, and red snapper."
12. Padubidri Beach,"This beach is known for its annual fishing competition and is a great spot for surf fishing. You can find pomfret, mullet, and barracuda here."
13. Tannirbavi Beach,"This beach is located near Mangalore and is known for its tiger fish, catfish, and barracuda. It is a great spot for shore fishing."
14. Kulashekara Lake,This lake is known for its prawn and crab fishing. It is also a great spot for bird watching.
15. Thonse Padumane Beach,"This beach is known for its annual fishing festival and is a great spot for surf fishing. You can find a variety of fish like tilapia, catfish, and barramundi here."
16. Panambur Fishing Harbour,"This harbour is a popular spot among local fishermen. It is known for its red snapper, catfish, and mullet."
17. Hosabettu Beach,"This hidden beach is a great spot for shore fishing. You can find pomfret, catfish, and mackerel here."
18. Yermal Beach,"This quiet and peaceful beach is perfect for surf fishing. You can find a variety of fish like red snapper, pomfret, and catfish here."
19. Batapady Beach,"This is a popular beach for fishing, especially during the monsoon season. You can catch pomfret, catfish, and barramundi here."
20. Malpe Beach,"This beach has a beautiful estuary that is filled with a variety of fish like red snapper, catfish, and mullet. It is also a great spot for bird watching."
21. Aryapallam Beach,"This is a hidden gem for fishing enthusiasts. You can find tiger fish, catfish, and grouper here."
22. Polipu Beach,"This picturesque beach is perfect for surf fishing. You can expect to catch pomfret, barramundi, and catfish here."
23. Kodi Beach,"This beach is known for its annual fishing competition and is a popular spot for local fishermen. It is known for its red snapper, tiger fish, and grouper."
24. Udyavara Beach,"This is a beautiful beach that is perfect for shore fishing. You can find tilapia, catfish, and barramundi here."
25. Malavoor Dam,"This dam is a great spot for freshwater fishing. You can find catfish, rohu, and tilapia here."
26. Hejmadi Tank,This small freshwater lake is known for its plentiful tilapia and rohu. Fishing is allowed here with the proper permits.
27. Nandini River,"This river is known for its red snapper, tiger fish, and grouper. It is also a great spot for bird watching."
28. Perla Dam,"This dam is a popular spot for local fishermen, with an abundance of catfish and tilapia."
29. Shiriya River,This river is known for its carp and catfish. It is a great spot for bank fishing.
30. Odiyoor Lake,"This lake is a hidden gem for fishing enthusiasts, with plentiful tilapia, catfish, and rohu."
31. Kaup Beach,"This beautiful beach is perfect for surf fishing, with a variety of fish like pomfret, barracuda, and catfish."
32. Kundangal River,"This river is a popular spot for local fishermen, with an abundance of red snapper, tiger fish, and grouper."
33. Gurupura River,This river is known for its barramundi and catfish. You can rent a boat and fish in deeper waters here.
34. Vamadapadavu Backwaters,"This backwater canal is a peaceful and beautiful spot for fishing. You can find red snapper, mullet, and catfish here."
35. Tannirbavi Temple Tank,This temple tank is known for its prawn and crab fishing. It is also a great spot for bird watching.
36. Gangolli Beach,"This quiet beach is perfect for shore fishing, with a variety of fish like red snapper, catfish, and barramundi."
37. Polipu Estuary,"This estuary is a hidden gem for fishing enthusiasts. It is known for its tiger fish, catfish, and barramundi."
38. Kanyana Lake,"This man-made lake is a popular spot for local fishermen. It is known for its tilapia, catfish, and rohu."
39. Trasi Beach,"This beach is known for its annual fishing festival and is a great spot for surf fishing. You can find pomfret, catfish, and barramundi here."
40. Kempu Hole River,"This river is a popular spot for bank fishing, with an abundance of catfish and tilapia."
41. Ottinene Beach,"This beautiful beach is perfect for surf fishing, with a variety of fish like pomfret, barramundi, and catfish."
42. Maravanthe Beach,"This beach has a stunning backdrop of a highway on one side and a river on the other. You can find tiger fish, catfish, and barracuda here."
43. Kodibengre Beach,"This beach is a hidden gem for fishing enthusiasts, known for its barramundi, catfish, and tilapia."
44. Hemmadibeach,"This peaceful beach is perfect for shore fishing, with plentiful red snapper, catfish, and mackerel."
45. Aldur Lake,"This hidden lake is known for its tilapia, catfish, and rohu. Fishing is allowed here with the proper permits."
46. Uppinangadi River,"This river is a popular spot for bank fishing, with an abundance of red snapper, catfish, and barramundi."
47. Padukere Beach,"This beach is known for its annual fishing competition and is a great spot for shore fishing. You can find pomfret, catfish, and barramundi here."
48. Red Rock Beach,"This picturesque beach is perfect for surf fishing, with a variety of fish like pomfret, barracuda, and catfish."
49. Surathkal Beach,"This beach is known for its annual fishing fair and is a popular spot for local fishermen. It is known for its red snapper, mullet, and catfish."
50. Padukere Estuary,"This estuary is a hidden gem for fishing enthusiasts. You can find tiger fish, catfish, and barramundi here."
