Location,Latitude,Longitude,Common Fish Species,Accessibility,Fishing Regulations,Popularity
 Malpe Beach,13.3613804,74.6976506,"Bangus, Catfish, Silver Barb",Easy,Fishing license required,High
Tannirbhavi Beach,12.8913022,74.8138741,"Climbing Perch, Mullet, Pangasius",Moderate,No fishing restrictions,Medium
Nettekallu,13.3408807,74.7421427,"Tilapia, Silver Carp, Snakehead",Easy,No fishing allowed,Low
Sasihithlu Beach,13.0707262,74.7766835,"Catfish, Silver Barb, Goby",Difficult,Special permit required,High
End Point Lake,13.3703954,74.7849353,"Mudfish, Pangasius, Glass Perchlet",Easy,No fishing restrictions,High
Ulal Pond,13.3408807,74.7421427,"Bangus, Tilapia, Silver Carp",Easy,Fishing license required,High
River Pavanje    ,13.0341034,74.7907577,"Catfish, Climbing Perch, Silver Barb",Easy,No fishing allowed,Low
Mulki River,13.070992,74.8005869,"Mullet, Pangasius, Glass Perchlet",Moderate,No fishing restrictions,Medium
Moodabidri Lake,13.0687993,74.9936004,"Bangus, Silver Barb, Snakehead",Easy,Fishing license required,High
Shambavi River,13.1078809,74.8739217,"Tilapia, Climbing Perch, Silver Carp",Moderate,No fishing allowed,Low
Kodi Bengre,13.4359412,74.6945647,"Catfish, Silver Carp, Goby",Easy,Fishing license required,High
Managaluru Island,12.9012483,75.0412305,"Mullet, Pangasius, Mudfish",Moderate,No fishing restrictions,Medium
Surathkal Beach,12.9951009,74.8094458,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low
River Nandini,13.035985,74.7871011,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Bengre Lagoon,13.7525396,74.6532686,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Mangalore Port,12.9141417,74.8559568,"Bangus, Tilapia, Silver Carp",Easy,Fishing license required,High
Panambur Beach,12.9530213,74.8011783,"Catfish, Climbing Perch, Silver Barb",Easy,No fishing allowed,Low
Surathkal Lighthouse,13.0048237,74.7898156,"Mullet, Pangasius, Glass Perchlet",Moderate,No fishing restrictions,Medium
Hosabettu River,13.0632383,74.9949698,"Bangus, Catfish, Silver Carp",Easy,Fishing license required,High
River Varahi,12.9012483,75.0412305,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing allowed,Low
Alvas Lake,13.0687993,74.9936004,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Maravante Beach,13.7048476,74.642422,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low
Madikere Beach,12.9141417,74.8559568,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Pavanje River Estuary,12.9012483,75.0412305,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Mahalingeshwara ,12.9012483,75.0412305,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low
Someshwara Beach,12.7862087,74.8534545,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
River Shambhavi Estuary,12.8146637,74.8585442,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Maple Beach Fishing Harbour,13.3613804,74.6976506,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low
Nandikol Fishing Harbour,13.1280161,80.296935,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Trasi Fishing Harbou,13.6531341,74.6682449,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Surathkal Fishing Harbour,12.9925299,74.8003526,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low
Mangalore Fisheries Harbour,12.9141417,74.8559568,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Mulki Fishing Harbou,13.0717839,74.799625,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Kodi Fishing Harbour,12.9150977,74.8116324,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low
Hoige Bazar Fishing Harbour,12.851632,74.8370418,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Thannirbavi Fishing Harbour,12.8913022,74.8138741,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Maravante Fishing Harbour,13.7258321,74.6488264,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low
Someshwara Fishing Harbour,12.7862087,74.8534545,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Malpe Fishing Harbour,13.3474392,74.7001259,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Mulki Fishing Harbour,13.072027,74.798373,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low
Pavanje Fishing Harbour,13.0341034,74.7907577,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Ullal Fishing Harbour,12.8075765,74.8422695,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High
River Gurupura Estuary,12.9395946,74.9285829,"Bangus, Catfish, Silver Carp",Easy,No fishing allowed,Low
Kavoor Fishing Harbour,13.1280161,80.296935,"Tilapia, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Padubidri Fishing Harbour,13.1308865,74.762509,"Mudfish, Pangasius, Glass Perchlet",Easy,Fishing license required,High
Udupi Fishing Harbour,13.3490133,74.7005513,"Bangus, Tilapia, Silver Carp",Easy,No fishing allowed,Low
Pudukodi Fishing Harbour,13.035985,74.7871011,"Catfish, Climbing Perch, Silver Barb",Moderate,No fishing restrictions,Medium
Brahmavar Fishing Harbour,13.4253655,74.757167,"Mullet, Pangasius, Glass Perchlet",Easy,Fishing license required,High
